Date,ActivePower,WindSpeed,TheoreticalPower,WindDirection,PowerError,Status,WindSpeed_theta,ActivePower_theta,TheoreticalPower_theta,PowerError_theta,WindSpeed_phi,ActivePower_phi,TheoreticalPower_phi,PowerError_phi,Fuzzy_Label
02 01 2018 19:00,3061.73510742187,11.2979698181152,3367.8051386683,192.858200073242,306.07003124643006,0.5,0.4482252229230724,0.8461843756237101,0.9355014274078612,0.0850194531240083,0.3810006678127282,0.0833154187670585,0.033323960230047,0.8432849238246951,0.5
02 01 2018 19:10,2679.11010742187,10.6659498214721,3141.29261131238,194.084396362304,462.1825038905099,1.0,0.4231510451329203,0.7405220139625746,0.8725812809201056,0.1283840288584749,0.405332207596561,0.1490805539693707,0.0680444263638512,0.772446214099017,1.0
02 01 2018 19:20,2721.0810546875,10.8332901000976,3210.35060075426,195.201797485351,489.2695460667601,1.0,0.4297899488384921,0.7521123423761426,0.8917640557650722,0.1359082072407667,0.3988068678372828,0.1414793170668967,0.0572142936668466,0.7607056514348088,1.0
02 01 2018 19:30,2649.13696289062,10.5783700942993,3102.33999824069,195.343200683593,453.20303535007,1.0,0.4196764879011752,0.7322448934461879,0.8617611106224139,0.1258897320416861,0.4087716582224764,0.1545711622916843,0.0742516795462393,0.7763728925506801,1.0
02 01 2018 19:40,2707.74291992187,10.3885402679443,3010.96227906629,201.797698974609,303.2193591444202,0.5,0.412145354644031,0.7484290001494429,0.8363784108517472,0.0842275997623389,0.416284799169384,0.1438840237888153,0.0891001485213289,0.8446311461158127,1.0
02 01 2018 19:50,2508.83203125,10.0804195404052,2841.09942231867,204.207397460937,332.2673910686699,0.5,0.3999212573936569,0.6934995149950881,0.7891942839774083,0.0922964975190749,0.4286517826892326,0.1809864616381664,0.1178215903719338,0.8310046810024433,1.0
02 01 2018 20:00,2316.64794921875,9.83873844146728,2687.68808162899,199.747406005859,371.04013241024,0.5,0.3903330246233719,0.6404276457207352,0.7465800226747195,0.1030667034472888,0.4385042752917281,0.2191942785268555,0.1450949707630299,0.8131269793110675,1.0
02 01 2018 20:10,3081.54296875,11.4399995803833,3406.63706435351,200.240295410156,325.09409560351014,0.5,0.4538599805723852,0.8516543407524563,0.9462880734315304,0.0903039154454194,0.3756482926317286,0.080115200760019,0.0275971102642421,0.8343509288260643,0.5
02 01 2018 20:20,3397.63891601562,11.9440298080444,3512.97717205074,201.166397094726,115.33825603512014,0.0,0.4738564104434514,0.938944623142784,0.9758269922363167,0.0320384044542,0.3569842936044518,0.0314889740163145,0.0122343746991346,0.9379123793922304,0.5
02 01 2018 20:30,3391.71606445312,11.8592901229858,3498.35399407939,201.71060180664,106.63792962626984,0.0,0.4704945264202776,0.9373090204407596,0.971764998355386,0.0296216471184082,0.360086667489156,0.0323598243221814,0.0143196586145733,0.9424611026753176,0.5
